
No compatibility mode selected!


Circuit: * teste: threshold do -3db calculado a partir do hdc medido (let + var)

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


No. of Data Rows : 101
hdc_db              =  -1.838105e+01
fc_an               =  1.321189e+02
fc_var              =  1.320961e+02

Error: measure  fc_f45  (WHEN) : out of interval
 meas ac fc_f45 when vp(out)=-45 failed!

    * teste: threshold do -3db calculado a partir do hdc medido (let + var)
    AC Analysis  Fri Sep 11 21:34:41  2026
--------------------------------------------------------------------------------
Index   frequency       vdb(out)        vp(out)         
--------------------------------------------------------------------------------
25	1.778279e+01	-1.84588e+01	-1.33825e-01	
26	1.995262e+01	-1.84788e+01	-1.49923e-01	
27	2.238721e+01	-1.85038e+01	-1.67893e-01	
28	2.511886e+01	-1.85351e+01	-1.87925e-01	
29	2.818383e+01	-1.85742e+01	-2.10221e-01	
30	3.162278e+01	-1.86228e+01	-2.34986e-01	
31	3.548134e+01	-1.86834e+01	-2.62426e-01	
32	3.981072e+01	-1.87584e+01	-2.92739e-01	
33	4.466836e+01	-1.88511e+01	-3.26101e-01	
34	5.011872e+01	-1.89650e+01	-3.62655e-01	
35	5.623413e+01	-1.91042e+01	-4.02494e-01	
36	6.309573e+01	-1.92734e+01	-4.45635e-01	
37	7.079458e+01	-1.94775e+01	-4.92007e-01	
38	7.943282e+01	-1.97214e+01	-5.41424e-01	
39	8.912509e+01	-2.00103e+01	-5.93575e-01	
40	1.000000e+02	-2.03485e+01	-6.48015e-01	
41	1.122018e+02	-2.07401e+01	-7.04177e-01	
42	1.258925e+02	-2.11875e+01	-7.61391e-01	
43	1.412538e+02	-2.16923e+01	-8.18922e-01	
44	1.584893e+02	-2.22542e+01	-8.76011e-01	
45	1.778279e+02	-2.28717e+01	-9.31932e-01	
46	1.995262e+02	-2.35419e+01	-9.86029e-01	
47	2.238721e+02	-2.42609e+01	-1.03775e+00	
48	2.511886e+02	-2.50239e+01	-1.08668e+00	
49	2.818383e+02	-2.58259e+01	-1.13253e+00	
50	3.162278e+02	-2.66620e+01	-1.17513e+00	
51	3.548134e+02	-2.75273e+01	-1.21442e+00	
52	3.981072e+02	-2.84172e+01	-1.25044e+00	
53	4.466836e+02	-2.93277e+01	-1.28328e+00	
54	5.011872e+02	-3.02552e+01	-1.31311e+00	

Index   frequency       vdb(out)        vp(out)         
--------------------------------------------------------------------------------
55	5.623413e+02	-3.11968e+01	-1.34009e+00	
56	6.309573e+02	-3.21499e+01	-1.36443e+00	
57	7.079458e+02	-3.31122e+01	-1.38634e+00	
58	7.943282e+02	-3.40821e+01	-1.40602e+00	
59	8.912509e+02	-3.50580e+01	-1.42366e+00	
60	1.000000e+03	-3.60387e+01	-1.43947e+00	
61	1.122018e+03	-3.70234e+01	-1.45361e+00	
62	1.258925e+03	-3.80111e+01	-1.46626e+00	
63	1.412538e+03	-3.90014e+01	-1.47756e+00	
64	1.584893e+03	-3.99937e+01	-1.48765e+00	
65	1.778279e+03	-4.09875e+01	-1.49665e+00	
66	1.995262e+03	-4.19826e+01	-1.50469e+00	
67	2.238721e+03	-4.29787e+01	-1.51186e+00	
68	2.511886e+03	-4.39756e+01	-1.51826e+00	
69	2.818383e+03	-4.49731e+01	-1.52396e+00	
70	3.162278e+03	-4.59712e+01	-1.52905e+00	
71	3.548134e+03	-4.69696e+01	-1.53359e+00	
72	3.981072e+03	-4.79684e+01	-1.53763e+00	
73	4.466836e+03	-4.89674e+01	-1.54123e+00	
74	5.011872e+03	-4.99666e+01	-1.54445e+00	
75	5.623413e+03	-5.09660e+01	-1.54731e+00	
76	6.309573e+03	-5.19655e+01	-1.54987e+00	
77	7.079458e+03	-5.29651e+01	-1.55214e+00	
78	7.943282e+03	-5.39648e+01	-1.55417e+00	
79	8.912509e+03	-5.49646e+01	-1.55598e+00	
80	1.000000e+04	-5.59644e+01	-1.55759e+00	
81	1.122018e+04	-5.69642e+01	-1.55902e+00	
82	1.25892Note: No ".plot", ".print", or ".fourier" lines; no simulations run
5e+04	-5.79641e+01	-1.56030e+00	
83	1.412538e+04	-5.89640e+01	-1.56145e+00	
84	1.584893e+04	-5.99639e+01	-1.56246e+00	
85	1.778279e+04	-6.09638e+01	-1.56337e+00	
86	1.995262e+04	-6.19638e+01	-1.56418e+00	
87	2.238721e+04	-6.29637e+01	-1.56490e+00	
88	2.511886e+04	-6.39637e+01	-1.56554e+00	
89	2.818383e+04	-6.49637e+01	-1.56611e+00	
90	3.162278e+04	-6.59637e+01	-1.56662e+00	
91	3.548134e+04	-6.69637e+01	-1.56707e+00	
92	3.981072e+04	-6.79636e+01	-1.56748e+00	
93	4.466836e+04	-6.89636e+01	-1.56784e+00	
94	5.011872e+04	-6.99636e+01	-1.56816e+00	
95	5.623413e+04	-7.09636e+01	-1.56845e+00	
96	6.309573e+04	-7.19636e+01	-1.56870e+00	
97	7.079458e+04	-7.29636e+01	-1.56893e+00	
98	7.943282e+04	-7.39636e+01	-1.56913e+00	
99	8.912509e+04	-7.49636e+01	-1.56931e+00	
100	1.000000e+05	-7.59636e+01	-1.56948e+00	
